,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
423,40,Jupiter Edge (LivQuick PPI),0.13,8.72
424,41,Karnataka Bank Apps,0.32,43.13
425,42,Karur Vysya Bank Apps,0.04,15.91
426,43,Kotak Mahindra Bank Apps,8.33,1762.28
427,44,MakeMyTrip,0.11,51.45
428,45,MI Pay,0.17,29.61
429,46,Mobikwik,2.31,404.63
430,47,NSDL Payments Bank Apps,0.02,2.44
431,48,Paytm Payments Bank App,877.5,102119.9
432,49,PhonePe,2732.59,501474.48
433,50,Punjab National Bank Apps,0.08,40.68
434,51,Punjab Sind Bank Apps,0.01,5.93
435,52,RBL Bank Apps,0.42,123.89
436,53,Samsung Pay,4.07,468.23
437,54,South Indian Bank Apps,0.14,46.66
438,55,Standard Chartered Bank Apps,0.13,69.13
439,56,State Bank of India Apps,3.83,1947.1
440,57,Tamilnad Mercantile Bank Apps,0.03,4.02
441,58,TataNeu,0.12,19.41
442,59,TJSB Bank Apps,0.01,2.1
443,60,UCO Bank Apps,0.22,42.3
444,61,Ultracash,0.03,3.32
445,62,Union Bank Apps,0.45,199.8
446,63,Utkarsh Small Finance Bank Apps,0.01,3.47
447,64,WhatsApp,23.04,429.06
448,65,Yes Bank Apps,44.03,11147.17
449,66,YuvaPay,0.03,58.31
450,67,Others,0.02,6.34
451,0,Airtel Payments Bank Apps,13.16,4492.25
452,1,Allahabad Bank Apps,0.02,6.15
453,2,Amazon Pay,76.34,6894.78
454,3,AU Small Finance Bank Apps,0.29,104.48
455,4,Axis Bank Apps,61.29,1084.94
456,5,Bajaj Finserv,0.35,24.08
457,6,Bank of Baroda Apps,0.69,328.61
458,7,Bank of India Apps,0.08,26.22
459,8,Bank of Maharashtra Apps,0.05,15.0
460,9,BHIM,24.88,8050.24
461,10,Canara Bank Apps,0.31,109.68
462,11,Central Bank of India Apps,0.14,50.67
463,12,Citi Bank Apps,0.11,68.41
464,13,City Union Bank Apps,0.03,7.3
465,14,Cointab,0.08,33.22
466,15,Cred,12.11,16136.11
467,16,DBS Digibank Apps,0.49,185.52
468,17,Dena Bank Apps,0.02,29.32
469,18,Deutsche Bank Apps,1.02,93.02
470,19,Dhanlaxmi Bank Apps,0.01,3.29
471,20,Fave,0.37,13.0
472,21,Federal Bank Apps,2.45,360.96
473,22,Fino Payments bank Apps,0.04,3.47
474,23,Finserv Markets,0.03,1.49
475,24,Finshell Pay,0.08,4.0
476,25,GoIbibo,0.02,5.91
477,26,Google Pay,1838.12,338873.25
478,27,Groww,0.83,472.71
479,28,HDFC Bank Apps,5.45,1624.54
480,29,HSBC Bank Apps,0.1,62.0
481,30,ICICI Bank Apps,35.13,10538.69
482,31,IDBI Bank Apps,0.03,16.25
483,32,IDFC Bank Apps,2.7,534.56
484,33,India Post Payments Bank Apps,2.95,321.14
485,34,Indian Bank Apps,0.11,42.26
486,35,Indian Overseas Bank Apps,0.01,1.62
487,36,IndusInd Bank Apps,1.03,2252.3
488,37,Jammu and Kashmir Bank Apps,0.01,2.15
489,38,Janata Sahakari Bank Apps,0.01,4.51
490,39,Jio Payments Bank Apps,2.27,129.5
491,40,Jupiter,1.32,164.8
492,41,Karnataka Bank Apps,0.3,37.96
493,42,Karur Vysya Bank Apps,0.04,18.29
494,43,Kotak Mahindra Bank Apps,7.92,1587.51
495,44,MakeMyTrip,0.1,47.1
496,45,MI Pay,0.24,36.02
497,46,Mobikwik,3.6,739.25
498,47,NSDL Payments Bank Apps,0.02,2.28
499,48,Paytm Payments Bank App,837.14,95650.36
500,49,PhonePe,2527.15,471401.26
501,50,Punjab National Bank Apps,0.09,46.64
502,51,Punjab Sind Bank Apps,0.01,3.8
503,52,RBL Bank Apps,0.46,126.75
504,53,Samsung Pay,3.73,473.5
505,54,South Indian Bank Apps,0.13,44.63
506,55,Standard Chartered Bank Apps,0.13,69.84
507,56,State Bank of India Apps,4.01,2130.56
508,57,SuperPay,0.1,0.64
509,58,UCO Bank Apps,0.19,40.88
510,59,Ultracash,0.03,1.12
511,60,Union Bank Apps,0.41,197.01
512,61,Utkarsh Small Finance Bank Apps,0.01,3.9
513,62,WhatsApp,2.54,239.78
514,63,Yes Bank Apps,35.25,8746.74
515,64,YuvaPay,0.06,105.39
516,65,Others,0.02,8.11
517,0,Airtel Payments Bank Apps,6.11,486.62
518,1,Allahabad Bank Apps,0.02,6.25
519,2,Amazon Pay,74.83,6954.18
520,3,AU Small Finance Bank Apps,0.35,107.22
521,4,Axis Bank Apps,58.66,1425.16
522,5,Bajaj Finserv,0.79,58.53
523,6,Bank of Baroda Apps,0.88,406.79
524,7,Bank of India Apps,0.12,40.04
525,8,Bank of Maharashtra Apps,0.06,16.47
526,9,BHIM,26.57,9559.66
527,10,Canara Bank Apps,0.33,114.09
528,11,Central Bank of India Apps,0.15,55.4
529,12,Citi Bank Apps,0.13,78.71
530,13,City Union Bank Apps,0.03,10.06
531,14,Cointab,0.06,23.77
532,15,Cred,13.89,18174.61
533,16,DBS Digibank Apps,0.47,186.33
534,17,Deutsche Bank Apps,1.64,116.55
535,18,Dhanlaxmi Bank Apps,0.01,3.35
536,19,Fave,0.1,6.12
537,20,Federal Bank Apps,3.42,474.12
538,21,Fino Payments bank Apps,0.04,3.83
539,22,Finserv Markets,0.01,1.01
540,23,Finshell Pay,0.09,4.68
