,Application_Name,Total_Volume_Mn,Total_Value_Cr
45,Mobikwik,3.48,923.59
46,NSDL Payments Bank Apps,0.02,3.42
47,OMNI,0.26,6.74
48,Paytm Payments Bank App,1299.25,155711.73
49,PhonePe,4216.99,710178.44
50,PINELABS,0.02,1.31
51,Punjab National Bank Apps,1.03,148.28
52,Punjab Sind Bank Apps,0.04,14.04
53,RBL Bank Apps,1.66,492.33
54,Samsung Pay,5.67,511.04
55,Slash,0.01,0.32
56,slice,0.66,170.62
57,South Indian Bank Apps,0.22,63.81
58,Standard Chartered Bank Apps,0.16,94.22
59,State Bank of India Apps,4.09,1910.15
60,Tamilnad Mercantile Bank Apps,0.06,13.15
61,TataNeu,0.15,16.46
62,UCO Bank Apps,0.34,111.87
63,Ultracash,0.03,2.1
64,Union Bank Apps,0.74,301.17
65,Utkarsh Small Finance Bank Apps,0.02,6.43
66,WhatsApp,14.83,1319.01
67,Yes Bank Apps,35.33,12454.98
68,Others,0.03,8.54
69,Total April 2023,9003.64,1426567.87
70,PhonePe,4987.33,775265.57
71,Google Pay,3767.68,538113.42
72,Paytm Payments Bank App,1484.82,176804.51
73,Cred,85.13,31926.2
74,Axis Bank Apps,69.43,3037.11
75,Amazon Pay,54.02,5836.99
76,ICICI Bank Apps,38.57,20999.12
77,Yes Bank Apps,28.94,11254.77
78,BHIM,24.61,7793.58
79,Kotak Mahindra Bank Apps,21.17,3678.04
80,FAM,20.27,235.89
81,WhatsApp,19.7,1677.53
82,HDFC Bank Apps,18.94,4671.76
83,Bajaj Finserv,13.22,1995.11
84,Airtel Payments Bank Apps,10.2,699.27
85,Samsung Pay,6,538.48
86,Federal Bank Apps,5.7,700.66
87,India Post Payments Bank Apps,5.56,498.37
88,State Bank of India Apps,5.39,2104.81
89,Groww,4.74,2911.09
90,IDFC Bank Apps,4.36,1107.81
91,Mobikwik,3.96,1203.54
92,Jupiter,3.94,500.95
93,Standard Chartered Bank Apps,3.59,514.44
94,Deutsche Bank Apps,2.08,359.86
95,Canara Bank Apps,1.64,492.29
96,Jio Payments Bank Apps,1.42,113.65
97,RBL Bank Apps,1.38,548.31
98,Bank of Baroda Apps,1.27,466.84
99,slice,0.96,306.89
100,Union Bank Apps,0.9,324.77
101,Punjab National Bank Apps,0.86,179.75
102,IndusInd Bank Apps,0.85,391.31
103,OMNI,0.77,25.2
104,AU Small Finance Bank Apps,0.71,218.16
105,KIWI,0.69,69.86
106,Karnataka Bank Apps,0.65,127.83
107,DBS Digibank Apps,0.46,174.06
108,Central Bank of India Apps,0.45,96.41
109,UCO Bank Apps,0.38,132.77
110,Indian Bank Apps,0.33,91.69
111,Bank of India Apps,0.29,85.09
112,South Indian Bank Apps,0.28,77.42
113,Fino Payments bank Apps,0.21,15.43
114,HSBC Bank Apps,0.17,98.19
115,BPAYWALLET,0.15,32.07
116,Fave,0.12,7.54
117,TataNeu,0.1,16.09
118,Tamilnad Mercantile Bank Apps,0.1,25.45
119,Ultracash,0.09,6.17
120,Citi Bank Apps,0.08,58.11
121,Indian Overseas Bank Apps,0.07,19.01
122,City Union Bank Apps,0.07,19.79
123,IDBI Bank Apps,0.06,31.69
124,INDIE,0.05,12.6
